Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,24.682667,24.756666,20.420000,20.881332,20.881332,852802500
2017-07-10,20.860001,22.206667,20.208668,21.851999,21.851999,749191500
2017-07-17,21.702667,22.110001,20.896667,21.893333,21.893333,490131000
2017-07-24,22.016001,23.166668,21.752666,22.337999,22.337999,504448500
2017-07-31,22.366667,23.818001,20.747999,23.794001,23.794001,791004000
2017-08-07,23.823334,24.666668,23.516666,23.858000,23.858000,481876500
2017-08-14,24.308666,24.510668,23.053333,23.164000,23.164000,321810000
2017-08-21,23.054667,23.777332,22.123333,23.203333,23.203333,357609000
2017-08-28,23.152000,23.896000,22.583332,23.693333,23.693333,275593500
2017-09-04,23.586666,23.699333,22.770666,22.893333,22.893333,231438000
2017-09-11,23.423332,25.333332,23.333332,25.320667,25.320667,456723000
2017-09-18,25.350000,25.974001,23.392000,23.406000,23.406000,470049000
2017-09-25,23.543333,23.831333,22.360001,22.740000,22.740000,468738000
2017-10-02,22.834667,24.006666,22.085333,23.792000,23.792000,481096500
2017-10-09,23.309999,23.985332,22.844667,23.704666,23.704666,399007500
2017-10-16,23.584000,24.200001,22.955999,23.006666,23.006666,354001500
2017-10-23,23.325333,23.330000,21.110666,21.391333,21.391333,462544500
2017-10-30,21.278667,22.174000,19.508667,20.406000,20.406000,706041000
2017-11-06,20.466667,20.557333,19.753332,20.199333,20.199333,398671500
2017-11-13,20.008667,21.778000,19.940666,21.003332,21.003332,581953500
2017-11-20,20.919333,21.215334,20.316668,21.036667,21.036667,355060500
2017-11-27,20.883333,21.333332,20.082001,20.435333,20.435333,403759500
2017-12-04,20.433332,21.242001,20.000000,21.008667,21.008667,388890000
2017-12-11,20.975332,23.162666,20.916668,22.896667,22.896667,534387000
2017-12-18,22.993334,23.115334,21.654667,21.680000,21.680000,402840000
2017-12-25,21.588667,21.596001,20.636000,20.756666,20.756666,257760000
2018-01-01,20.799999,21.683332,20.378668,21.105333,21.105333,351168000
2018-01-08,21.066668,22.987333,21.033333,22.414667,22.414667,491797500
2018-01-15,22.502666,23.486668,22.320000,23.334667,23.334667,362278500
2018-01-22,23.293333,24.033333,22.380667,22.856667,22.856667,423645000
2018-01-29,22.656668,23.977333,22.552000,22.916668,22.916668,353721000
2018-02-05,22.531334,23.241333,19.650667,20.694668,20.694668,596550000
2018-02-12,21.075333,22.874666,20.416668,22.365999,22.365999,394413000
2018-02-19,22.298000,23.666000,22.100000,23.469999,23.469999,300243000
2018-02-26,23.566668,23.999332,21.531334,22.341333,22.341333,407782500
2018-03-05,22.159332,22.516666,21.449333,21.811333,21.811333,332847000
2018-03-12,21.907333,23.147333,21.271334,21.423332,21.423332,523189500
2018-03-19,21.100000,21.496000,20.030001,20.102667,20.102667,447025500
2018-03-26,20.489332,20.506001,16.547333,17.742001,17.742001,876289500
2018-04-02,17.084000,20.618668,16.306000,19.953333,19.953333,1312447500
2018-04-09,20.024668,20.633333,19.280666,20.022667,20.022667,654877500
2018-04-16,19.933332,20.067333,18.834000,19.349333,19.349333,474220500
2018-04-23,19.419333,19.631332,18.433332,19.605333,19.605333,349693500
2018-04-30,19.573999,20.456667,18.348667,19.606001,19.606001,656185500
2018-05-07,19.833332,20.865999,19.677999,20.070667,20.070667,460002000
2018-05-14,20.221333,20.329332,18.266666,18.454666,18.454666,512287500
2018-05-21,18.755333,19.432667,18.228001,18.590000,18.590000,482479500
2018-05-28,18.567333,19.667334,18.410000,19.454666,19.454666,367506000
2018-06-04,19.622667,22.000000,19.115999,21.177334,21.177334,781662000
2018-06-11,21.500668,24.311333,21.500000,23.878000,23.878000,1002450000
2018-06-18,23.693333,24.915333,22.133333,22.242001,22.242001,771780000
2018-06-25,22.007999,23.801332,21.719999,22.863333,22.863333,564118500
2018-07-02,24.004667,24.318666,19.747999,20.593332,20.593332,860764500
2018-07-09,20.799334,21.845333,20.533333,21.257999,21.257999,503151000
2018-07-16,20.780666,21.700001,20.416668,20.905333,20.905333,472749000
2018-07-23,20.122667,20.713333,19.503332,19.812000,19.812000,569893500
